Date,Title,Content,Author,Corporate Author,Class
5/4/2023,Ministry for increased Internet access,"Minister of Information and Digitisation Moses Kunkuyu says his ministry is geared to see enhanced Internet access in the country.
He said it is proven globally that countries that have developed their economies, have done so on the strength of advanced Information and communications technology (ICTs) that provide a fertile ground for social economic development.
Kunkuyu said this on Thursday after meeting officials from Open Connect Limited (OCL), who paid a courtesy call to brief him on their operations in the counton
He said: ""Information and communications technology have great promise to reduce poverty, increase productivity, boost economic growth, and improve accountability and governance.”
 The minister further said improving access to the internet will, among others, help the country with facts and figures, information and knowledge for personal, social and economic development.
 He disclosed that through ICT projects such as Last Mile Rural Connectivity, enhancement and Digital Malawi, access to fast and affordable Internet will be realized.
 OCL chief executive officer Sandile Dhlomo said they are constructing a tier three data Centre in Malawi, a primary data Centre in Lilongwe and a secondary data Centre in Blantyre.
OCL is an open access wholesale telecommunications company, offering carrier that services telecommunication companies, ISPs, broadcasters and government with over 5000 kilometers of fibre spread across 24 districts in the country.
According to 2023 State of Digital Access in Malawi Report 24.4 percent of Malawi’s population has access to the Internet, leaving out close to 75.6 percent unconnected.",Chikondi Chimala,National Publications Limited,1
JAN 30 2020,,"Voting at Lilongwe South Constituency is in progress. There are 27 centres where 32,459 registered people are expected to cast their vote. Picture shows Kachule Primary School, which is one of the polling centres.",Audrey Kapalamula,Times 360 Malawi,1
9/20/2024,NKHONDO YA ISRAEL NDI PALESTINA IPITILIRE,"Dziko la Malawi dzulo ku msonkhano waukulu wa UNGA lati nkhondo yapakati pa Israel ndi dziko la Palestina isathesedwe ndipo ikuyenera ipitilire. Dziko la Malawi lapanga izi kuzera pa vote yomwe mtsogoleri wa dziko lino Dr Lazarus Chakwera waponya.
Dziko lino lalowa mmayiko ena okwana 12 kuphatikizapo dziko la USA omwe akufuna kuti nkhondoyi ipitilire. Koma dziko la Uganda linachotsa chiganizo ngati chomwechi litaponya kale vote ngati yomweyi.
Mtsogoleri wa dziko lino Dr Lazarus Chakwera wakhala akukhalira kumbuyo dziko la Israel chiyambireni nkhondoyi. Mchaka Cha 2020 mtsogoleri wa dziko lino iye anasankha Malo olimbirana a mzinda wa Jerusalem kuti ndikomwe maofesi aukazembe akakhale  ngkhale kuti anasintha kumapeto ndikuwayika ku Tel A Viv.",,Times Exclusive,0
9/25/2024,LIKOMA ISLAND NOT ONLY FOR CASINO BUT ALSO MINING ,"Ministry of Tourism through the press release has admitted the intention of developing Likoma Island to an iconic Tourism Center. An official release signed by the Principal Secretary Mr Chauncy Simwaka has clarified several issues concerning the Likoma sale.
Among other things the Ministry has stressed that the island is not yet sold as it was previously speculated. The ministry has assured the general public that it will do all necessary public consultation before coming up with the way forward.
According to the press release one of potential investors is interested to transform the island into a Casino, mine precious unmentioned mineral deposits and agriculture. The investor needs a land lease for 99 years years among others.",,Times Exclusive,0
JAN 27 2020,,"High Court Judge Justice Dorothy Nyakaunda Kamanga, has called for an interpate hearing on Thom Mpinganjira's Zomba file at 2 pm today. Zomba Magistrate, Ben Chitsakamire, cancelled Mpinganjira's warrant of arrest obtained by the Anti Corruption Bureau at the Lilongwe Magistrates Court, an order which Judiciary Registrar Agnes Patemba described as irregular. Mpinganjira was arrested last week for allegedly being part of the team which planned to bribe judges hearing the elections case. Patemba has confirmed the meeting saying it will be held in the chamber.",Jameson Chauluka,Times 360 Malawi,1
,PAC reminds Chakwera of promises,"Public Affairs Committee (PAC) yesterday faulted president Lazarus Chakwera for not living up to his promise to appoint a lean Cabinet.
The quasi-religious body has since challenged Chakwera to revisit the Cabinet by Trimming it to 20 or less as per his earlier promise.
PAC chairperson Patrick Thawale made the remarks during a closed-door meeting PAC members held with Chakwera at Kamuzu Palace in Lilongwe yesterday.
But Chakwera said the promise was made in the context 2014 and 2019 elections when he was contesting alone.
Last month, Chakwera appointed his first full Cabinet comprising 23 full ministers and eight deputies drawn from the Tonse Alliance membership which comprises his Malawi Congress Party, UTM Party and seven others parties.
According to a statement shared by PAC of Thawale speech, the chairperson reminded the president that in 2014 and 2019, PAC shared with him 19 issues, including cabinet size and composition for which Chakwera gave an assurance of a lean Cabinet membership of between 14 and 20.
He said: ‘’While we appreciate that there are several parties operating under Tonse Alliance, PAC suggest that you revisit the size of the Cabinet. Your approach to appointment of Cabinet members may have left a dent in your administration.’’
In a telephone interview, State House director of information and executive assistant to the president Sean Kampondeni said Chakwera’s response to the concern was that the June 23 presidential election affected some MCP promise as this around, the President went to the polls in partnership with eight others parties.
He said: ‘’One of the implications of operating under a alliance is the amendment of governance blueprint to bring the strength of multiple players.’’
Earlier, Chakwera also acknowledged public grievances over his Cabinet selection and pledged to review it after five months.
However, PAC commended Chakwera for regular updates on efforts the government is making to fight Covid-19 and to deal with corruption.
Other issues discussed during the meeting included public sector, electoral and constitutional reforms and religious tolerance.",NTCHINDI MEKI ,National Publications Limited,1
29/05/2023,Embrace  digitalization in all sectors -Kunkunyu," Ministry of Information and Digitization Moses Kunkuyu says Malawi needs to embrace digitalization as a tool to measure the way government is performing in various sectors. He said this on Thursday during the launch of the United Nations Capital Development Fund (UNCDF) Inclusive Digital Economy Scorecard, a strategic tool to measure and track the level of development of an inclusive digital economy. Said Kunkuyu: ""As government, we need to see such we agricultural heath and education, among others through such a tool.” UNCDF digital finance country specialist Iris Kissit said in the wake of a digital transformation across the globe, everyone should embrace digitalization. She said:""Malawi is scoring high in infrastructure policy but what needs to happen is to revert digital retail and place infrastructure in place to encourage and innovate skills within the population.” The UNCDF is the UnitedNations flagship catalytic financing entity for the world's 46 least developed countries (LDCs). Its purpose is to invest and catalyse capital to LDCs sustainable growth.",Patience Longwe,National Publications Limited,1
FEB 12 2020,,"PAC plays a clip of Ansah stating that the electoral body had used Tippex. Ansah comments on HRDC demonstrations: ""If anything is not peaceful, then it's not right."" She also asserts, ""An appeal is not disobedience to a court order. When you appeal, it means you do not agree with other areas.""",,Times 360 Malawi,1
4/7/2023,Faith leaders engaged on cyber security,"Minister of Information and Digitisation Moses Kunkuyu has urged religious leaders in the country to support government in protecting communities from cyberattacks that are becoming common on social media platforms. He said this during a faith leader's conference organised by Malawi Communications Regulatory Authority (Macra) in Mangochi on Tuesday. ""As you know, there are many good things associated with social media platforms. However, there are also fraud activities taking place online where people make phone calls pretending to be from banks and from service providers when they are ordinary people who intend to dupe others."" Macra director of broadcasting Zadziko Mankhambo said a lot of Malawians are losing millions of money to cybercrime. He, however, said the authority is acquiring equipment to help identify people involved in the malpractice.",Bishop Witmos,National Publications Limited,1
9/20/2024,"KUMPOTO NDI KU CHIPINDA CHA DPP | MUTHALIKA","Mtsogoleri wa chipani cha DPP Prof Peter Muthalika wati iye wafika mchigawo Cha ku mpoto kuzacheza osati kuzapanga ndale. Mtsogoleriyu wati chipani cha DPP sichikufunika kupanga campaign mchigawochi chifukwa akuziwa kuti mavoti onse ndi a DPP.
Mtsogoleriyu anakumbutsa anthu omwe anali pa roundabout ya ShopRite kuti mchaka Cha 2009 anapeza ma MP 28 ndipo Chaka chino apeza ma MP onse 38 mchigawochi. Iye wati wauza akuluakulu achipanichi a Hon Mzemera Ngwira komanso Hon Jappie Mhango kuti agwire ntchito imeneyi.
Paliso kusamvana pakati chipani cha DPP komanso MCP pomwe chipani cha DPP chikufuna chipani Cha MCP chitayimitsa msonkhano wake omwe uchitikile ma kilometer okwana 10 kuchoka pamalo omwe DPP ichitisire.
 Hon Jappie Mhango anapempha chipani Cha MCP kuti asinthe tsiku la msonkhano popewa ziwawa. Koma Mneneri wachipani cha MCP wati ngati chipani sanalandire Chikalata Cha dandaulo kotero msonkhano upitilira.",,Times Exclusive,0
JAN 6 2020,,"The Catholic Church has urged Malawians to respect whatever ruling the constitutional court will make on the presidential elections case. Mzuzu Diocese Bishop, John Ryan, said it is imperative for the country’s citizens to abide by the rule of law at all times, which is essential in the consolidation of democratic principles and good governance.",Feston Malekezo,Times 360 Malawi,1
,Schools to reopen early September-Chakwera,"President Lazarus Chakwera has said schools that will meet set covid-19 requirements will open early September. In his national address monitored on local radio stations last night, the president said he was thankful to God that despite  the number of people found with covid-19 virus passing the 5 000 mark, only percent have been serious cases that required hospitalisation. 
‘’Even among the 389 health workers who have contracted the Virus, we have lost only one and the rest are in recovery. I thank God for this.
‘’Secondly, I thank our health workers for continuing to defend us from the virus with  their expertise in matters of prevention and treatment. Because of their efforts, over 37 000 have now been tested,’’ said Chakwera. 
The president also thanked members of the presidential Task Force on covid-19 for their work of coordinating and spearheading efforts to fight against the spread.",FRANK NAMANGALE,National Publications Limited,1
13/06/2024,MACRA WARNS AGAINST SHARING GRAPHIC MATERIAL ,"The Malawi Communications Regulatory Authority (Macra) has warned the public against sharing of graphic material related to the plane crash that led to the death of Vice-President Saulos Chilima and eight others. Macra director general Daud Suleman said in a statement yesterday that the circulation of sensitive material is deeply concerning and can cause further distress to the families of the victims. He said: ""This is a devastating time for the nation, and we must honor the memory of the victims with the utmost dignity and respect,"" Macra is mandated under Section 97 of the Electronic Transactions and Cybersecurity Act to promote public education on safe and responsible online behavior, including cyber hygiene, Chilima and eight others were found dead on Tuesday in Mzimba after their plane went missing on Monday on its way to Mzuzu. ",The Nation,National Publications Limited,1
JAN 23 2020,,"Lawyer Lusungu Gondwe of Ritz Attorneys obtained the court order from a Zomba magistrate, releasing businessman Thom Mpinganjira from police custody and cancelling the ACB's warrant of arrest. It was not lawyer Frank Mbeta, as originally reported. According to ACB Director General Reyneck Matemba, the confusion occurred after Police Inspector General Duncan Mwapasa mistakenly mentioned Mbeta when informing him about the Zomba court's order. Matemba has now confirmed that the order was obtained by Ritz Attorneys, represented by Lusungu Gondwe. We apologize for the error.",,Times 360 Malawi,1
FEB 4 2020,,Former President Joyce Banda stated that the People’s Party is ready to collaborate with MCP President Lazarus Chakwera to improve the lives of Malawians.,Sharon Chirwa,Times 360 Malawi,1
FEB 13 2020,,"The anti-MEC demonstrations in Mangochi have concluded, with Human Rights Defenders Coalition representatives presenting their grievances to town council officials. HRDC Mangochi representative, Sheikh Allie Time, expresses satisfaction with the peaceful manner of the demonstrations. After a slow start, attendance increased significantly, although there were concerns about individuals trying to disrupt the demonstrations. Time mentions that protests will continue until MEC officials resign. Both town council officials and the police officer in charge of Mangochi, Joseph Muthupa, commend the demonstrators for their peaceful approach.",Yohane Symon,Times 360 Malawi,1
10/3/2024,,"Former Malawi President Bakili Muluzi made a surprise declaration of interest in competing for the United Democratic Front (UDF) presidency at the party’s elective convention, but quickly retreated, citing his age and the “sharp” young leaders.
Speaking at Comesa Hall in Blantyre on Wednesday, Muluzi said, “I called the secretary-general yesterday telling him that I want to compete as president for UDF at the convention… but I realize that this fresh blood will boot me out easily, I can’t compete with the young ones, they are sharp.”",,Malawi Voice,0
FEB 26 2020,,Democratic Progressive Party (DPP) takes its demonstrations seeking what the party calls ‘electoral justice' to Lilongwe. The demostrators are yet to start matching from Lilongwe Community Ground to Civic Offices in City Centre where they will deliver their petition. In the picture vehicle carrying DPP supporters arrives at Community Ground where the supporters are expected to start their demonstrations. Malawi Defence Force soldiers (MDF) present.,Faith Kadzanja,Times 360 Malawi,1
,CHAKWERA DATES PAC,"President Lazarus Chakwera is today schedule to meet Public Affairs Committee (PAC) in a closed-door meeting in Lilongwe to, among others, discuss ‘’issues of national importance.’’
Both PAC executive secretary Robert Phiri and State House director of communication and executive assistant to the president Sean Kampondeni confirmed about the meeting in separate interviews",LLOYD CHITSULO,National Publications Limited,1
,Muluzi donated K3 million to referral hospitals ,"United Democratic Front (UDF) presidential candidate Atupele Muluzi has called on politicians, businesspeople and other stakeholders to raise money towards running of referral hospitals in Malawi, arguing government has failed to run the hospitals. 
Muluzi made the call on Sunday in Mzuzu when he launched UDF manifesto and campaign in the Northern Region, He bemoaned shortage of drugs and other medical equipment being experienced in central hospitals. Muluzi, therefore, donated K3 million to Kamuzu, Queen Elizabeth and Mzuzu central hospitals from his campaign budget and called on other politicians to do the same. “I will have to cancel two or three rallies to help the hospitals. To lead by example, l am giving K1 million to Mzuzu Central Hospital, K1 million to Kamuzu Central Hospital and K1 million to Queen Elizabeth Central Hospital. “We cannot be on road all the time and it is sad to see people travelling, wasting fuel when our hospitals are in a bad state. Let us contribute the little we have to help others,” said Muluzi. He added thatg he was shocked to hear that doctors are contributing money to buy drugs for patients when people in the country pay tax. Speaking about his party’s vision, Muluzi promised to promote good governance and ensure developments once he gets into power. He promised enactment of Access to Information Bill and a law that will see Malawians own 20 to 30 percent shares in investments by foreigners. 
 ",,National Publications Limited,1
FEB 3 2020,,"The court identified approximately 75,000 null and void votes.",Sharon Chirwa,Times 360 Malawi,1
FEB 8 2020,,People gathered at Msundwe Ground for an MCP thank-you rally.,Sharon Chirwa,Times 360 Malawi,1
31/05/2023, Former State House ICT chief freed,"
The Lilongwe Chief Resident Magistrate's Court yesterday discharged a case in which former head of information, communications and technology (ICT) at State House, Chancy Chingwalungwalu, was being accused of cyber harassment. In the Civil Cause Number 65 of 2023, the State accused him of authoring of an online story which alleged that President Lazarus Chover Me prai ding nep is sapport gain interview yesterday, his lawyer Madalitso Kausi said the case has been discharged because the State failed to provide evidence since his arrest in February this year.
This becomes the second time that a case is discharged for Chingwalungwalu after he was also discharged on April 4 2022 alongside former head of National Intelligence Service (NIS), Kenam Kalirani. In that case, the two were accused of stealing equipment belonging to NIS. It was discharged because the State also failed to provide evidence.",The Nation,National Publications Limited,1
FEB 12 2020,,"The court has dismissed arguments regarding the costs associated with running an election and campaigning for candidates, stating that democracy is inherently an expensive process.",Audrey Kapalamula,Times 360 Malawi,1
FEB 5 2020,,"Chilima asserts that the court victory does not belong solely to the petitioners but to all women and young people who participated in the election. He demands the immediate resignation of MEC commissioners and Chief Elections Officer Sam Alfandika for failing to manage the election lawfully. As the current State Vice President, Chilima states that the court's decision means he must work with President Peter Mutharika, the Democratic Progressive Party (DPP), Malawi Congress Party (MCP), and other political stakeholders for the country’s betterment.",Audrey Kapalamula,Times 360 Malawi,1
7/1/2019,JB LOBBIES FOR ADOPTION OF NATIONAL DEVELOPMENT POLICY ,"Former president Joyce Banda, who is also Peoples Party (PP) torchbearer in the May 21 Tripartite Elections says government needs a national development policy to ensure continuity of development projects despite Changes in governing parties. Speaking at a rally in Nazumbe Primary School Ground in Phalombe, Banda sited an example of the Mudzi Transformation Trust which she said was helping poor people. She said it is worrisome to note that most of the projects left during my time have been abandoned.  We need to take responsibility for our development agenda regardless of political affiliations. In his remarks, Vice-president for the South Ephraim Chibvunde hailed party followers in the area for being loyal to the party saying during her tenure. Banda has demonstrated that she is a visionary leader. ",Johnathan Psungwi,National Publications Limited,1
FEB 3 2020,,MCP and UTM supporters celebrate at the MCP headquarters.,Jameson Chauluka,Times 360 Malawi,1
10/6/2024,,"Former President Professor Peter Mutharika has urged President Lazarus Chakwera’s administration to stop interfering with Lhomwe Chiefs, accusing the Malawi Congress Party (MCP) of forcing them to support the current administration for promotion.
Speaking at Mulhakho Wa Alhomwe’s annual festival in Chonde, Mulanje, Mutharika condemned MCP’s alleged tactics, saying, “Stop forcing chiefs to dance at your political rallies.”
He emphasized that Lhomwe chiefs should be allowed to perform their duties without political pressure.",,Malawi Voice,0
,Usi still UTM leader ,"Duties but took a swipe at the veep, hinting that only those present at the rally are the true UTM members. She further stressed that they exited Tonse Alliance becaue they wanted to to influence change, saying UTM could not grow if it is remained in the alliance . Kaliati also said she has information that over one million undeeage children have been registered to vote in the 2025 General Elections. 
She said; UTM party manifesto is what placed the current administration in power. But the Malawi Congress Party had already ended the alliance through their public pronouncements.” 
Seemingly making reference to Usi, UTM party publicity secretary Felix Njawala said a good mother does not look on as her children are being preyed on. 
Political pundit Wonderful  Mkhutche said a section of the party is not convicted with Usi’s leadership. 
“Therefore, he will need more claim to retain the leadership. Some UTM supporters think Dr. Usi has titled towards MCP and UTM enough. His fate is around this. 
“As of now, UTM is now divided into camps. Each camp already has its own way and there is no turning back. But the party should make sure that convention happens credibly to settle the leadership question. Whoever wins there, let him lead the party,” he said. 
On his part, an expert in elective politics Ernest Thindwa said the UTM party top hierarchy has neither endorsed Usi as  the party’s leader nor approved his appointment as State –Vice President. 
“The party needed to have a meeting immediately after the mourning period for the late SKC was concluded with the view to chart the way forward. The fact that the party is yet to meet for such purpose reveals the magnitude of the leadership crisis and divisions for the party is experiencing. 
“The party has been by the  demise of the SKC. The least the party can do is a further weaken the party by contesting the status of the leadership position which can only succeed in the deepening division,” he said . 
Faced with some pockets of resistance, Usi said recently that he is the bonafide UTM Party president following the death of his predecessor Chilima in a military plane crash on June. ",,National Publications Limited,1
22/04/2023,Digital entity moves towards self-sustenance,"Malawi Digital Broadcasting Network Limited (MDBNL) chief executive officer Dennis Chirwa says they are working towards becoming financially-independent to reduce government support and operate more effectively.
Speaking in Lilongwe yesterday when Minister of Information and Digitisation Moses Kunkuyu toured MDBNL offices, Chirwa said while government is providing financial support to the organisation, this may not be sustainable; hence, pushing for more revenue generation streams.
He said there are plans to facilitate the desired growth for the institution. Said Chirwa: ""We have plans to increase our viewership from 64 percent to 80 percent by October this year. We are also working on having some of our channels online so that people can watch on digital platforms. ""That way, we should be able to make more returns from traffic that may be on our digital platforms. Such funds will automatically add onto what we already are realizing through other streams and help in our operations” The minister’s tour comes after MDBNL equipment was gutted by fire in January of 2020, incurring a K2 billion loss of equipment.
In his remarks, Kunkuyu acknowledged that MDBNL is experiencing challenges that may require government intervention, especially on policy direction.  He however, said the institution plays a critical role in ensuring that citizens are more informed. “In terms of policy direction as well as financing , we as government will come in as soon as we can in order to help them operate ably,” said Kunyuku. MDBNL is a public entity mandated to provide signal distribution services to licensed broadcasters. It was registered under the Companions Act in February 2014 but started its operations in July 2015. There are 18 channels on the MDBNL platform, eight of which are already being tested on online streaming platforms.",Jacob Nankhonya,National Publications Limited,1
FEB 13 2020,,HRDC has announced that all is set for demonstrations aimed at shutting down the Malawi Electoral Commission (MEC) head offices in Blantyre today.,,Times 360 Malawi,1
,MARY CHILIMA URGES MUSLIM WOMEN TO BE PRAYERFUL  ,"Madame Mary Chilima, spouse to the Vice-President Saulos Chilima, has advised women in the country to embrace prayer if they are to succeed in life. Speaking at prayers organized by At-Tariqatul Qadiria Sunn Association (Aqsa) Women Dawa Group at Kaliyeka School Ground in Lilongwe on Saturday, she said prayer is critical in the life of women Said Chilima: ""Prayer is important in a woman as such, I encourage women to continue praying."" She said women should also help their children to grow in a Godly way as many children nowadays are exposed to evil things because of technological advancement. 
Aqsa Women Dawa Group president Alhajja Sakina Pongolani Nanyumba thanked the country's second lady for attending the Dawa prayers. She said Muslim women will take it their responsibility to lead by example. ",,National Publications Limited,1
23/04/2023,APM CHEERS MUSLIMS ,"Former president Peter Mutharika and former first lady Gertrude Mutharika on Thursday attended prayers at Nkali Mosque in Mangochi as the Muslims concluded the Holy Month of Ramadhan. In his Facebook post, Mutharika who lives in his retirement home in Mangochi said he ""spared time and visited neighboring Muslim brothers and sisters"" where he donated food items for use when celebrating their Eid El Fitr to mark the end of fasting in the month of Ramadhan. ""We take this opportunity to wish you our Muslim brothers and sisters in the country all the best as you celebrate Eid El Fitr. We appeal to all Malawians to unite as a sign of solidarity with our Muslim friends,"" reads the statement on his Facebook page. In the picture, the former first couple makes a symbolic presentation of the donation to representatives of Nkali Mosque.",Andrew Mtupanyama,National Publications Limited,1
FEB 3 2020,,"Fresh elections are to be held within 150 days, including Saturdays, Sundays, and public holidays.",Sharon Chirwa,Times 360 Malawi,1
JAN 30 2020,,Unofficial results at Kaweche  polling centre: Peter Dimba MCP  364 Julius Chombwe MMD  0 Frank Mazizi DPP  55 Patson Kachingwe  IND 0 Samson Phinifolo. IND   0 Null/Void      6,Audrey Kapalamula,Times 360 Malawi,1
,Chakwera outline vision for Malawi,"Newly elected Malawi Congress Party (MCP) president the Reverend Lazarus Kakwera has said his vision is to restore malawis lost dignity that has for years reduced the country to a begging nation due to lack of strategic direction.
Addressing his first rally at Nchalachala in Kasungu yesterday barely a week after succeeding former party president John Temba, Chakwera challenged Malawians that for this country to develop and move forward with Malawians themselves.
He also said developing Malawi is not about praising party leaders through songs but that all praises should go to the political parties and Malawi as a nation.
Said Chakwera: ‘’The new vision and direction is transforming Malawian lives in all sectors. It is sad that even in the Sadc region, we are the least developed country, but we want by 2020 this country should be able to create a middle-income society.’’
Chakwera was accompanied to the rally by Tembo and four of the other losing presidential aspirants during the party’s convention last week. The losing aspirants present included Former Chief Justice Lovemore Munlo, Former Farmers Union of Malawi President Felix Jumbe, member of parliament Watson Makala Ngozo and Former cabinet minister Jodder Kanjere.
He stressed that his leadership is set to bring both the MCP and Malawi as a nation back on track to realize its dreams and vision.
He said in the last years, Malawi has had brilliant plans such as the Vision 2020 and the millennium Development Goals (MDGs), but all these have failed to bear fruits because of lack of visionally leadership and proper direction.
Chakwera also said the other major problem with the country development path is that each administration comes with its own programmes and pans instead of having a national development plan that could be followed by each administration.
He said Malawi needs a common national vision and agenda if it is to move forward and develop.
‘’it is now fifty years since independence but nothing much has been done in terms fo development. At times we have signs that things are moving only to realise that we are back from where we started.
Why is that the case? This is the question that all of us have to answer,’’ said Chakwera.
He said one of his visions is to transform agriculture to make it into business and enhance agri- based exports, brings equity to the education sector so that both girls and boys as well as people in rural and urban areas have equal access to education, revamp the health a sector and that people should be able to freely do business that can bring them money.
On his party leadership, Chakwera said the new MCP offers hope to the people that have been looking for leadership that is selfless and that would be servant leadership.
He said, We would not want to portray that we are leaders who can ready to provide services and direction so that everyone knows where we are going and where we would want to be.", Bright Sonani,National Publications Limited,1
14/11/2022,"PLANNING COMMISSION AWARDS APM, SPEAKER, OTHERS ","The National Planning Commission has awarded Speaker of Parliament Catherine Gotani-Hara, former presidents; Peter Mutharika and his deceased brother Bingu, for playing a key role in the country's development. The commission's board chairperson Professor Richard Mkandawire said the awards are in line with the Malawi 2063 (MW2063) to recognize people who have made significant who have made significant contributions to the country. Speaking when she received the Malawi 2063 Champions Certificate of her office in Tuesday Lilongwe, Gotani Hara said Parliament has a key role to play in the realization of the Malawi 2063, including providing oversight in its implementation. She said ""It is a few years now since the vision was launched and it is high time implementers started accounting for what they have done this far We don't want Malawi 2063 to flop like Vision 2020. On Thursday, Mkandawire handed over the Malawi 2063 Champions Certificate to Mutharika at his house in Mangochi. He hailed the two Mutharika brothers, saying they deserve such an honor because they made remarkable contributions to the country.  Said Mkandawire; “Presidents come and go, and development continues and must continue.  What we saw from the two brothers was visionary leadership. ""Let me acknowledge late Bingu's credible development initiatives. He was indeed an economist per excellence who made a stellar performance and was part of the genesis of what we call MW2063 today, hence this award, he said.mReceiving the awards Mutharika thanked the commission for recognizing him and his brother. ""I am falling to believe it because I was not expecting that one day we would be recognized after running the country. What these awards mean is an indication to us that we performed well, he said. The commission also awarded the Chief Justice Regine Mzikamanda on Friday and founding president Kamuzu Banda on Monday. ",Ayamba Kandodo,National Publications Limited,1
FEB 26 2020,,DPP demonstrators have started marching in Lilongwe,Faith Kadzanja,Times 360 Malawi,1
,Chakwera firm on trimming powers,"President Lazarus Chakwera in his radio national address last night reaffirmed his commitment to reducing presidential powers.
Chakwera asked for support from several stakeholders to realise the goal he has set.
Said the president in his radio address statement: ‘’But I think you know by now that I do not say something unless I mean to do it. But to get this done, I need your support. The reduction of presidential powers is a collective efforts.
‘’As such, it is important that we all understand what these powers are. In summary, the presidency has four kinds of powers. The first category of powers a President has is positional.’’
The president said in his jurisdiction, there are certain positions and offers that are reserved for the president alone such as the positions of head of state, Head of Government, and commander.",FRANK NAMANGALE ,National Publications Limited,1
15/03/2023,"Take interest in technology, women told","Salima district commissioner Grace Chirwa Kanyimbiri has encouraged women to take interest in technology because the world has gone digital.
She said this on Monday
during the district's commemoration of the International Women's Day in Kamzimbe Village in Senior Chief Kalonga's
area.
Kanyimbiri said a paradigm shift is needed to harness the potential of technology and innovation to accelerate progress.
""There is a gender gap in digital access. This gap keeps women from unlocking their full potential,” she said.
Kanyimbiri admitted that some women in rural areas have a perception that using digital gadgets comes with a cost, but she said these days even small gadgets have access to the Internet.
JCM Power gender specialists Grace Kaonga, whose company funded the event, said there was a gap in access to technology between men and women 
She said they commemorated the day in their catchment area to appreciate the commendable job that women do in the development of the area.
“We organized the event with the help of the community because the understand this year’s theme that going digital is the only way for Salima District to develop,” said Kaonga.
Senior Chief Kalonga said his area will benefit the projects that provide tele-centers, adding that having such facilities will improve digital access to women.
he said he will encourage women to embrace technology. The event was spiced up with drama performance and a Salima Police Station.",Fostina Mkandawire,National Publications Limited,1
,,,,,1
JAN 16 2020,,"HRDC Vice Chairperson Gift Trapence says ACB Director General Reyneck Matemba has assured them that he will receive the petition demanding the naming and arrest of individuals suspected of attempting to bribe the judges presiding over the presidential election results case, which awaits judgment.",Audrey Kapalamula,Times 360 Malawi,1
FEB 3 2020,,"The court found that while it is nearly impossible to have an election free from any irregularities, the anomalies in this case were widespread and systematic, gravely affecting the results. The results do not accurately reflect the true outcome, and there was an undue return. The court holds that the first respondent was not duly elected as the president of Malawi and therefore orders the nullification of the elections and the holding of a fresh election.",Sharon Chirwa,Times 360 Malawi,1
FEB 11 2020,,"MEC Commissioner Moffat Banda explains that after noticing Tippex on some forms, the commissioners inquired with auditors. Two auditors (a white man and a Zimbabwean) informed them that field officers were failing to reconcile figures, leading the commission to tolerate the use of correction fluid.",,Times 360 Malawi,1
FEB 3 2020,,The Constitutional Court has nullified the results of the May 21 presidential elections and will provide further directions regarding when fresh polls will be conducted.,,Times 360 Malawi,1
,Government has failed-MCP,"DPP insists it has delivered manifesto promises.
Predictably, leader of opposition in Parliament Lazarus Chakwera has said the Democratic Progressive Party (DPP) administration has ""miserably failed"" to deliver on its socio-economic promises to Malawians contrary to President Peter Mutharika's claims. In a hard-hitting speech in response to Mutharika's State of the Nation Address (Sona) themed We Have Delivered presented in Parliament on Friday, Chakwera said the President was delusional in declaring that his party had delivered on its party manifesto Instead, he described the Mutharika administration",,National Publications Limited,1
FEB 3 2020,,"The court opines that Mr. Makwete committed perjury in court, and the office of the Director of Public Prosecution has directed that he be prosecuted for this.",Sharon Chirwa,Times 360 Malawi,1
10/1/2024,,"Democratic Progressive Party (DPP) Vice President for the Central region, Alfred Gangata, has launched a scathing attack on President Dr. Lazarus Chakwera’s economic policies, citing skyrocketing debt, youth unemployment, and deepening corruption.
“President Chakwera promised Malawians a host of things but none has materialized apart from corruption which he is championing,” Gangata said at a rally in Kasungu district’s Chithiba ground.
“Malawi has lost enviable ground to other countries due to lack of investment and dedicated policy toward economic transformation and growth.”
Gangata criticized Chakwera’s leadership, stating, “Apart from kissing the sky with his family, what else can you point at Chakwera that he has done for poor Malawians?”",,Malawi Voice,0
FEB 25 2020,,"DPP Secretary General, Grizelda Jeffrey says this is not the first time that DPP is working with UDF. She says everyone is aware that DPP was formulated from the UDF.",Sharon Chirwa,Times 360 Malawi,1
FEB 12 2020,,"Justice Dr. Jane Ansah claims that all resolutions, except for two, at the commission were made by consensus.",,Times 360 Malawi,1
FEB 25 2020,,"DPP Secretary General, Grizelder Jeffrey, says DPP and UDF promise that the youth will be given opportunities to develop themselves and the country.",Sharon Chirwa,Times 360 Malawi,1
